,post
622,if you check out the banned video on race and iq  at about 14 minutes they show a graph  it says that in america 16  of blacks are as smart as the average white person 
3248,because your fans are mostly white  cohenservatives hate white people 
6043,Whats the only time you wink at a black person  When youre aiming
5350,secure borders and impeach thats what you need to do protect us protect us
5652,rt  need to ban no go zones and the practice of sharia law need to bloc muslim refugees from middle east unless
1646,it allows white people to be free of black crime 
351,   color   doesnt matter unless u r white  n amurrica diversity  prowhite free speech cant coexist  whitegenocide 
2800, rt more antijew hate from   nothing to do with islam   
3133,so black pride is fine  but white pride is racist  riiiiiiight 
5732,Thirteenth news journalist killed in Mexico this year Now THATS something Id like to see come here from Mexico KillMostJournalists
4690,oh wow a jew made a penis joke once again u prove how debased your jew brain is hitlerwasright
1687,so is mass nonwhite immigration to the west in the minds of jews
3299,its funny you think a white country should have nonwhite nationalists  a country is i
5731,Bury that POS and curse the traitor to hell httpswwwtheamericanconservativecomarticlesm MAGA TAOTD PresidentTrump
28, rt  white racialists rally in edmonton  alberta and london  ontario as a commemoration of   white pride worldwide day    
952, jews hate christians even more than   just   white people  so i know im doing something right by claimin 
1685,show your pride with wpww tshirts from the white resister via
1295,petition to keep the us white
1441,good video on internet activism and white character whitegenocide freespeech northwestfront deportallmuslims
3335,previous article hid his black race  but i knew it was a black male killing a young white woman
2162,i think it was partly because many black males hate women  particularly white women and couldnt get themselves to vote for hrc 
766, white genocide accelerates in sweden  university removes all portaits of white male professors
6254,Jihad is one of the Five Pillars of Islam The whole thing is basically founded on going out and killing people for Gd
4518,nothing will happen you silverback maggots are full of nothing but empty threats hitcharidetoafrica
1212,and in the process inciting antiwhite violence  splc is an antiwhite hate group
4423,its simple folks islam is evil it has nothing to offer our civilization my space will remain a 100 islam free zone as long as i live
4940,let them go maybe we can get the libs and their pets to go
158,we are subjected to antiwhite hate  to blame for black fai
293,or white genocide
3403,why your white be proud of your own race and look out for your own race just like obama looked out just for his own race
2894,lets be a white resister  because the beauty of the white aryan woman must not perish from the earth 
2856,funny how tolerating black crime is key to keep black politicians in power  safe streets would bring whites back  and theyd want good govt 
5314,ripping off welfare free lunches school programs bi  lingual teachers required higher taxes if they dont get it they sue get out
2178,just did a round table show on w  and  should be out in a few days  refugeescrisis  whitegenocide
1420,being white in philly  pennsylvania h  t sbpdl the black mayor of philadelphia is trying to the human rights c 
6251,Coworkers facebook status Not sure how the guy sitting next to me in class can smell so bad and still be alive First comment Is he Indian
